video,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,likes,comments,shares
Z2_z0HssrQo,62026,53298,118,21.9,222,1268,88,219
aec7VvfhHTc,13519,23477,138,11.6,3,71,14,7
isVEfRLvFiE,11635,36171,377,4.9,20,243,10,17
o9lUtQVCB24,5789,17685,394,5.38,14,258,13,18
Fe5DlqRh6pY,5765,18603,555,5.11,9,118,19,17
Rz6dxno88NY,5530,28801,692,1.6099999999999999,13,155,8,17
BcLpOEVh6C0,5429,969,21,78.05,4,638,39,13
Gj-LdVgTL74,3555,23147,976,10.15,3,119,5,7
yCI8ZCJ1Q2I,3392,504,17,71.37,1,234,10,3
J0iuzSLBRqY,3204,7640,346,5.49,2,111,15,4
Fv8HbB3_MkI,3006,2298,169,8.46,2,55,6,2
4HGNcxt7ZaQ,2648,2756,145,25.489999999999995,4,114,16,18
93CssslGZvc,2547,10949,730,5.74,5,98,4,4
t5OMOC4gqu0,2533,85,14,90.45,0,0,0,0
I9HHJV11umM,2460,101,20,128.83,0,0,0,0
OZn2xnHLFfM,2439,74,13,82.91,0,0,0,0
8JMyjpA_BAs,2305,79,17,109.37,0,0,0,0
BazFwnrnHww,2304,564,28,65.62,2,150,6,4
FBhXSruOoHk,2284,323,17,53.23,0,82,6,1
bwaS35fv0Ew,2258,10459,643,5.1,2,95,4,5
IeWAaD3ZTXw,2252,7695,456,6.21,3,122,7,9
vizWEvEJfCY,2148,10346,748,5.63,4,101,7,5
YO7lMaqjy1A,2103,4952,307,6.5,1,96,4,4
SsU-7flIg2g,1940,58,12,77.23,0,0,0,0
HuwZoWLdSOg,1883,8808,697,7.79,0,85,8,5
sJREVWUsDRY,1846,5161,440,5.32,1,87,6,8
BUiwu47RH84,1836,8670,746,7.090000000000001,1,91,6,7
FojCezLmHIc,1817,5028,453,4.15,1,76,4,2
-qVGyv02LnY,1580,448,26,52.75,2,86,12,3
gpemsZDlfQg,1516,198,24,36.11,0,35,6,2
0MNE_inIGXU,1449,270,34,73.62,0,44,10,1
lkYUxFZWVCc,1390,49,11,71.89,0,0,0,0
Mkn1AWEo6Oo,1371,108,22,27.65,0,46,8,1
m7MuBIjW1J0,1362,369,35,39.02,0,121,9,3
bN1-YXwOIsk,1235,1136,172,7.53,0,54,5,4
uIV_HWFfVYM,1128,138,16,34.66,0,35,4,1
CEObm9Fv9co,1049,249,30,42.69,3,82,9,2
BDWpYYEFpFs,959,241,22,26.3,0,40,3,0
AaA8RK9-Pf4,914,329,88,14.95,0,32,8,3
_IS-WqC1PUU,877,34,10,64.81,0,0,0,0
HYX2p_pChso,874,216,31,41.37,0,40,6,1
ZBMyaXUrOh0,820,115,9,4.75,0,2,0,0
zB61D7qZzdo,773,122,26,46.54,0,50,6,1
MK5YtrPMrWQ,622,127,28,37.78,0,56,10,2
ieY3qWWM314,585,72,20,26.150000000000002,0,41,5,1
9sO6n-KgZ5k,535,62,24,31.8,0,34,3,0
EwPqE-5nLbM,530,466,106,22.22,0,45,9,1
m6w5lUOnEfg,516,18,12,79.72,0,0,0,0
wlXMsIVql-c,497,13,8,53.6,0,0,0,0
fUPQosw2JW0,428,100,29,39.95,0,41,6,1
1QKPBfnii50,406,13,15,96.35,0,0,0,0
qfD7S1D5HQQ,318,90,38,51.76,0,38,5,1
5sS-bHl44-k,309,472,155,12.11,0,6,0,3
QdVynSyrIcM,293,51,18,69.25,0,10,0,0
Y9FWCHJXMmQ,293,138,139,18.06,0,1,0,0
dWer13yL5vY,249,38,22,83.15,0,21,0,0
7NptBkx71bw,229,676,275,4.2,0,8,2,0
GOOOkd1Np20,227,70,33,45.06,0,6,0,0
cQ45br1nmbE,207,529,232,3.39,0,2,0,0
e3V2mKMi0v8,196,27,17,56.84,0,10,0,1
SMtGC0WN1-Q,183,41,26,79.75,0,9,0,1
Qkk3TQ02G2c,157,49,41,67.17,0,4,1,0
wSn0V_nScDc,149,473,297,4.32,1,1,0,0
6u4Lubke8wA,147,51,39,44.74,0,7,1,0
h6NGgnN1lVI,128,47,24,17.4,0,-2,0,0
