video_id,title,published_at,duration_sec,content_type,content_type_source,url,views_total,likes_total,comments_total,thumbnail_impressions,thumbnail_ctr,views_first2d,views_first7d,views_first28d,first7d_vs_median,win_views,win_minutes_watched,win_avg_view_duration_sec,win_avg_view_pct,win_subs_gained,win_subs_per_1k_views,pct_views_nonsubscriber,ret_10pct,ret_50pct,ret_90pct,relative_retention_avg
54JEwNwtxWk,“I’m Speechless…” A Pro Wrestler Experiences STRANGER THAN HEAVEN | TGS 2026 #Shidatube,2026-09-24T02:00:35Z,605,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=54JEwNwtxWk,571,59,6,,,,,,,,,,,,,,,,,
wDY1l7dgqYw,Any advice wanted!! #apex,2026-09-23T22:22:29Z,66,SHORTS,heuristic,https://www.youtube.com/watch?v=wDY1l7dgqYw,639,67,6,,,,,,,,,,,,,,,,,
yyRvOG6BQV4,I'm home America! from TGS2026/ ゲームショウから帰ってきました！ #tgs2026,2026-09-23T20:05:01Z,6556,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=yyRvOG6BQV4,3611,134,4,,,,,,,,,,,,,,,,,
scst5iIhL-E,【Day1】Finish it in 2 days!/ 2日間でクリアする！【SILENT HILL town fall】 #silenthilltownfall,2026-09-23T04:52:20Z,0,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=scst5iIhL-E,0,3,0,,,,,,,,,,,,,,,,,
4HGNcxt7ZaQ,"A Pro Wrestler Asks! Takeshita, SEGA Insiders & Fans on Why They Love Yakuza Kiwami! #yakuza ",2026-09-22T01:49:20Z,569,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=4HGNcxt7ZaQ,5942,198,22,,,2648.0,,,,2648,2756,145,25.489999999999995,4,1.51,,0.48210000000000003,0.2089,0.2232,0.439
J0iuzSLBRqY,東京ゲームショウ感想会！ #TGS2026,2026-09-21T14:11:56Z,9126,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=J0iuzSLBRqY,3696,116,7,,,3204.0,,,,3204,7640,346,5.49,2,0.62,,0.0723,0.0723,0.029900000000000003,0.573
bN1-YXwOIsk,Through a Pro Wrestler’s Eyes! | Yakuza Kiwami — Combat Edition,2026-09-21T14:03:03Z,2295,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=bN1-YXwOIsk,1372,62,6,,,1235.0,,,,1235,1136,172,7.53,0,0.0,,0.12990000000000002,0.0883,0.0753,0.498
-qVGyv02LnY,Cosplay Eating Challenge 🔥 #tgs2026,2026-09-21T02:59:47Z,51,SHORTS,heuristic,https://www.youtube.com/watch?v=-qVGyv02LnY,1762,104,13,,,1580.0,,,,1580,448,26,52.75,2,1.27,,1.0189,0.4539,0.2904,0.489
BazFwnrnHww,Kenny’s favorite character in YAKUZA series is… #kennyomega,2026-09-19T23:31:48Z,44,SHORTS,heuristic,https://www.youtube.com/watch?v=BazFwnrnHww,2593,164,7,,,1987.0,,,,2304,564,28,65.62,2,0.87,,1.0798999999999999,0.6576000000000001,0.4732,0.496
Z2_z0HssrQo,Kenny Omega Talks Yakuza Kiwami 1 & 2 and His Wembley Battle | TGS 2026 Interview,2026-09-19T13:12:07Z,541,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=Z2_z0HssrQo,88141,1465,97,,,33085.0,,,,62026,53298,118,21.9,222,3.58,,0.4279,0.18030000000000002,0.1334,0.385
FBhXSruOoHk,Totally smitten with the young Daito💕 #tgs2026,2026-09-18T21:57:53Z,33,SHORTS,heuristic,https://www.youtube.com/watch?v=FBhXSruOoHk,2345,95,5,,,1856.0,,,,2284,323,17,53.23,0,0.0,,1.0236,0.47130000000000005,0.2741,0.331
yCI8ZCJ1Q2I,Challenging karaoke with a song that every Japanese knows. #tgs2026,2026-09-17T23:09:22Z,25,SHORTS,heuristic,https://www.youtube.com/watch?v=yCI8ZCJ1Q2I,3365,246,11,,,2432.0,,,,3392,504,17,71.37,1,0.29,,1.1129,0.7293000000000001,0.3862,0.424
isVEfRLvFiE,【ゲスト:朱里】日本最強女子レスラーは龍が如くを気に入るのか！？【龍が如く極2】 #yakuza,2026-09-17T13:25:07Z,7711,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=isVEfRLvFiE,11095,247,11,,,8561.0,,,,11635,36171,377,4.9,20,1.72,,0.1383,0.08779999999999999,0.044500000000000005,0.646
Fv8HbB3_MkI,Why We Love Yakuza Kiwami! | Story Edition #Shidatube,2026-09-16T22:00:08Z,2001,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=Fv8HbB3_MkI,2712,55,6,,,2103.0,2665.0,,4.11,3006,2298,169,8.46,2,0.67,,0.1557,0.08109999999999999,0.056600000000000004,0.421
HYX2p_pChso,What does this picture look like to you? #龍が如く,2026-09-15T22:00:29Z,76,SHORTS,heuristic,https://www.youtube.com/watch?v=HYX2p_pChso,832,41,6,,,611.0,803.0,,0.83,874,216,31,41.37,0,0.0,,0.7617,0.35229999999999995,0.2824,0.588
YO7lMaqjy1A,Makeup of A monster from Silent Hill f/サイレントヒルｆの化け物メイク #TGS2026,2026-09-15T03:26:20Z,4726,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=YO7lMaqjy1A,2066,97,3,,,1722.0,2017.0,,1.0,2103,4952,307,6.5,1,0.48,,0.08439999999999999,0.0658,0.051399999999999994,0.585
gpemsZDlfQg,I Could Cheat and Win… But I’m a Pro Wrestler.【Yakuza Kiwami 3】#Shidatube,2026-09-14T22:00:23Z,67,SHORTS,heuristic,https://www.youtube.com/watch?v=gpemsZDlfQg,1516,36,6,,,1313.0,1475.0,,1.53,1516,198,24,36.11,0,0.0,,0.7862,0.2414,0.2391,0.53
sJREVWUsDRY,アイテムを当てろ！10秒お絵描きクイズ【龍が如く極3】#龍が如く,2026-09-13T13:29:50Z,8281,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=sJREVWUsDRY,1855,88,6,,,1700.0,1806.0,,0.9,1846,5161,440,5.32,1,0.54,,0.0506,0.0233,0.0467,0.533
Fe5DlqRh6pY,龍が如くの魅力！未プレイのあなたにこそ伝えたい【龍が如く極】,2026-09-12T13:08:30Z,10876,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=Fe5DlqRh6pY,5758,118,17,,,3878.0,5511.0,,2.73,5765,18603,555,5.11,9,1.56,,0.1301,0.051399999999999994,0.0374,0.595
93CssslGZvc,Say ''KIWAMI'' in the chat and I restricted!/ チャットで「KIWAMI」と言うと志田が困ります！【龍が如く極3】#yakuza,2026-09-12T04:44:35Z,12741,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=93CssslGZvc,2548,98,4,,,2374.0,2501.0,,1.24,2547,10949,730,5.74,5,1.96,,0.07730000000000001,0.0387,0.044199999999999996,0.422
m7MuBIjW1J0,It was chaos when 2 rival wrestlers played a game together. 【Chained Together】 #SHIDAtube,2026-09-11T22:00:26Z,91,SHORTS,heuristic,https://www.youtube.com/watch?v=m7MuBIjW1J0,1376,123,8,,,982.0,1289.0,,1.34,1362,369,35,39.02,0,0.0,,,,,
o9lUtQVCB24,AEW Wrestlers play game together!/ AEWレスラーが一緒にゲームします！【Chained Together】,2026-09-11T03:10:20Z,7336,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=o9lUtQVCB24,5809,259,12,,,5138.0,5572.0,,2.76,5789,17685,394,5.38,14,2.42,,,,,
aec7VvfhHTc,Wrestler challenges Kazuma Kiryu and Goro Majima!【Yakuza Kiwami 3】 #Shidatube #龍が如く ,2026-09-10T12:00:13Z,1193,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=aec7VvfhHTc,15823,72,12,,,2466.0,8191.0,,12.64,13519,23477,138,11.6,3,0.22,,,,,
BcLpOEVh6C0,We all love you✨ #aew,2026-09-10T02:08:48Z,27,SHORTS,heuristic,https://www.youtube.com/watch?v=BcLpOEVh6C0,5514,645,38,,,4107.0,5114.0,,5.3,5429,969,21,78.05,4,0.74,,,,,
9sO6n-KgZ5k,Can You Guess This Like a Dragon 8 Karaoke Song?【Question 4】🎤 #Shidatube,2026-09-09T19:14:06Z,77,SHORTS,heuristic,https://www.youtube.com/watch?v=9sO6n-KgZ5k,540,37,3,,,419.0,484.0,,0.5,535,62,24,31.8,0,0.0,,,,,
bwaS35fv0Ew,Requests from 1st time viewers are welcom!/ 初見リクエスト大歓迎！【龍が如く】,2026-09-09T05:37:34Z,12631,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=bwaS35fv0Ew,2255,95,4,,,2098.0,2207.0,,1.09,2258,10459,643,5.1,2,0.89,,,,,
fUPQosw2JW0,"Newest vs N64 ver.! There are differences here, too!! 【Star Fox】 #starfox #SHIDAtube",2026-09-08T23:53:21Z,74,SHORTS,heuristic,https://www.youtube.com/watch?v=fUPQosw2JW0,433,41,6,,,293.0,384.0,,0.4,428,100,29,39.95,0,0.0,,,,,
vizWEvEJfCY,It's Final! I can't! Too difficult!/ ついに最終回！むりっムズい！！【Star Fox】,2026-09-08T05:52:32Z,13311,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=vizWEvEJfCY,2148,101,7,,,2038.0,2115.0,,1.05,2148,10346,748,5.63,4,1.86,,,,,
ieY3qWWM314,Can You Guess This Like a Dragon 8 Karaoke Song?【Question 3】🎤#Shidatube,2026-09-07T23:06:10Z,77,SHORTS,heuristic,https://www.youtube.com/watch?v=ieY3qWWM314,592,41,5,,,452.0,547.0,,0.57,585,72,20,26.150000000000002,0,0.0,,,,,
