day,views,estimatedMinutesWatched,averageViewDuration,subscribersGained,subscribersLost,likes,comments,shares
2026-08-28,3111,1938,156,2,13,46,7,7
2026-08-29,6012,26306,632,14,22,158,7,10
2026-08-30,3130,2821,219,5,10,39,9,3
2026-08-31,3168,10353,472,6,10,177,18,10
2026-09-01,1979,3001,292,3,7,88,11,3
2026-09-02,582,1879,409,0,8,21,3,0
2026-09-03,2130,8875,600,2,9,94,11,7
2026-09-04,3377,23236,965,7,11,154,9,7
2026-09-05,2133,3278,257,10,17,58,10,5
2026-09-06,3568,5991,322,5,14,130,13,5
2026-09-07,2694,11309,627,5,10,132,11,7
2026-09-08,3935,10197,507,5,10,145,15,5
2026-09-09,5282,3259,98,5,10,359,33,11
2026-09-10,8495,15360,255,22,11,479,30,18
2026-09-11,6560,17592,368,14,15,270,18,17
2026-09-12,5608,17544,474,18,8,183,18,12
2026-09-13,4594,10285,306,5,25,123,9,5
2026-09-14,6281,9824,227,2,27,140,13,6
2026-09-15,4390,4324,123,5,5,74,7,1
2026-09-16,3893,5594,163,5,11,62,3,8
2026-09-17,12359,31259,298,33,6,355,19,14
2026-09-18,5484,7228,142,11,18,137,11,5
2026-09-19,22442,28978,138,158,18,825,59,133
2026-09-20,21085,18443,108,119,21,489,23,58
2026-09-21,40987,36810,135,147,23,734,66,72
2026-09-22,26722,26200,151,85,19,407,14,50
2026-09-23,17124,12250,110,54,16,271,29,27
