insightTrafficSourceDetail,views,estimatedMinutesWatched
hikaru shida,1076,2979
志田光,642,4256
龍が如く,515,647
shidatube,258,1248
kenny omega,233,374
stranger than heaven,185,95
tgs2026,142,15
japan stigmatized property,114,23
ケニー・オメガ,104,203
kenny omega interview,53,85
フィットボクシング3,51,9
apex,36,3
jsp3,33,7
朱里,33,424
競泳水着,32,0
yakuza,31,9
tgs,30,8
japan stigmatized property 3,29,3
kenny omega hikaru shida,28,47
オメガ,24,0
東京ゲームショウ,23,11
競泳水着女子,23,1
fit boxing 3,22,3
壮麗亜美,22,17
ケニーオメガ,20,25
