video_id,insightTrafficSourceType,views
54JEwNwtxWk,NO_LINK_OTHER,33.0
54JEwNwtxWk,SUBSCRIBER,927.0
54JEwNwtxWk,YT_CHANNEL,19.0
54JEwNwtxWk,YT_SEARCH,20.0
54JEwNwtxWk,RELATED_VIDEO,27.0
54JEwNwtxWk,YT_OTHER_PAGE,4.0
54JEwNwtxWk,EXT_URL,19.0
54JEwNwtxWk,NOTIFICATION,27.0
wDY1l7dgqYw,NO_LINK_OTHER,0
wDY1l7dgqYw,SUBSCRIBER,209.0
wDY1l7dgqYw,YT_CHANNEL,16.0
wDY1l7dgqYw,YT_SEARCH,10.0
wDY1l7dgqYw,RELATED_VIDEO,3.0
wDY1l7dgqYw,YT_OTHER_PAGE,13.0
wDY1l7dgqYw,EXT_URL,9.0
wDY1l7dgqYw,NOTIFICATION,72.0
wDY1l7dgqYw,SHORTS,355.0
yyRvOG6BQV4,NO_LINK_OTHER,51.0
yyRvOG6BQV4,SUBSCRIBER,3073.0
yyRvOG6BQV4,YT_CHANNEL,72.0
yyRvOG6BQV4,YT_SEARCH,52.0
yyRvOG6BQV4,RELATED_VIDEO,145.0
yyRvOG6BQV4,YT_OTHER_PAGE,49.0
yyRvOG6BQV4,EXT_URL,197.0
yyRvOG6BQV4,PLAYLIST,3.0
yyRvOG6BQV4,NOTIFICATION,57.0
4HGNcxt7ZaQ,NO_LINK_OTHER,126.0
4HGNcxt7ZaQ,SUBSCRIBER,5131.0
4HGNcxt7ZaQ,YT_CHANNEL,232.0
4HGNcxt7ZaQ,YT_SEARCH,90.0
4HGNcxt7ZaQ,RELATED_VIDEO,94.0
4HGNcxt7ZaQ,YT_OTHER_PAGE,50.0
4HGNcxt7ZaQ,EXT_URL,183.0
4HGNcxt7ZaQ,PLAYLIST,3.0
4HGNcxt7ZaQ,NOTIFICATION,46.0
J0iuzSLBRqY,NO_LINK_OTHER,40.0
J0iuzSLBRqY,SUBSCRIBER,2826.0
J0iuzSLBRqY,YT_CHANNEL,147.0
J0iuzSLBRqY,YT_SEARCH,147.0
J0iuzSLBRqY,RELATED_VIDEO,211.0
J0iuzSLBRqY,YT_OTHER_PAGE,38.0
J0iuzSLBRqY,EXT_URL,211.0
J0iuzSLBRqY,PLAYLIST,2.0
