snapshot_date,channel_id,channel_label,category,video_id,title,published_at,duration_sec,format_guess,views,likes,comments,url
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,TURh8YrGyxE,【Day2.5】Never End Until Finish the story!/ クリアするまで終われません！【SILENT HILL town fall】 #silenthilltownfall,2026-09-26T12:56:19Z,0,live,331,52,0,https://www.youtube.com/watch?v=TURh8YrGyxE
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,rMbqIb-92HY,【Day2】Never End Until Finish the story!/ クリアするまで終われません！【SILENT HILL town fall】 #silenthilltownfall,2026-09-26T13:28:41Z,42876,live,3837,143,0,https://www.youtube.com/watch?v=rMbqIb-92HY
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,Vlm5swy19KE,Do squats if I scream😱 #silenthilltownfall,2026-09-25T22:00:19Z,61,short,634,58,6,https://www.youtube.com/watch?v=Vlm5swy19KE
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,scst5iIhL-E,【Day1】Finish it in 2 days!/ 2日間でクリアする！【SILENT HILL town fall】 #silenthilltownfall,2026-09-25T07:40:10Z,19556,live,3948,161,7,https://www.youtube.com/watch?v=scst5iIhL-E
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,HwEq0wbFry4,If Horror game Villains team up in Wrestling!? #cosplay,2026-09-25T00:12:02Z,26,short,1278,28,5,https://www.youtube.com/watch?v=HwEq0wbFry4
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,54JEwNwtxWk,“I’m Speechless…” A Pro Wrestler Experiences STRANGER THAN HEAVEN | TGS 2026 #Shidatube,2026-09-24T02:00:35Z,605,mid,3816,110,17,https://www.youtube.com/watch?v=54JEwNwtxWk
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,wDY1l7dgqYw,Any advice wanted!! #apex,2026-09-23T22:22:29Z,66,short,1038,98,7,https://www.youtube.com/watch?v=wDY1l7dgqYw
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,yyRvOG6BQV4,I'm home America! from TGS2026/ ゲームショウから帰ってきました！ #tgs2026,2026-09-23T20:05:01Z,6556,live,4138,140,4,https://www.youtube.com/watch?v=yyRvOG6BQV4
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,4HGNcxt7ZaQ,"A Pro Wrestler Asks! Takeshita, SEGA Insiders & Fans on Why They Love Yakuza Kiwami! #yakuza ",2026-09-22T01:49:20Z,569,mid,6519,209,22,https://www.youtube.com/watch?v=4HGNcxt7ZaQ
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,J0iuzSLBRqY,東京ゲームショウ感想会！ #TGS2026,2026-09-21T14:11:56Z,9126,live,3883,118,7,https://www.youtube.com/watch?v=J0iuzSLBRqY
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,bN1-YXwOIsk,Through a Pro Wrestler’s Eyes! | Yakuza Kiwami — Combat Edition,2026-09-21T14:03:03Z,2295,long,1566,62,6,https://www.youtube.com/watch?v=bN1-YXwOIsk
